Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_Positive,Total_Negative,Total_Neutral
2015-10-01,343,66,342,560,68,600,912,183,1163,751,1228,2258
2015-10-02,686,114,475,355,60,489,927,238,1275,1275,904,2440
2015-10-03,226,46,186,184,35,144,605,148,788,458,363,1541
2015-10-04,126,55,113,307,69,298,524,200,634,294,674,1358
2015-10-05,289,81,423,180,29,163,846,144,968,793,372,1958
2015-10-06,273,66,363,176,47,260,546,126,710,702,483,1382
2015-10-07,292,67,268,192,68,275,747,203,967,627,535,1917
2015-10-08,426,122,556,332,55,351,740,159,913,1104,738,1812
2015-10-09,427,60,346,370,61,422,1496,277,1209,833,853,2982
2015-10-10,288,81,217,155,39,181,1034,164,899,586,375,2097
2015-10-11,504,78,624,518,75,317,585,140,864,1206,910,1589
2015-10-12,417,71,444,166,61,185,594,175,822,932,412,1591
2015-10-13,674,116,570,728,98,677,1100,232,1042,1360,1503,2374
2015-10-14,1769,353,1070,605,133,385,2251,393,1797,3192,1123,4441
2015-10-15,4363,280,2584,163,55,227,754,164,973,7227,445,1891
2015-10-16,317,82,394,580,87,500,976,159,1368,793,1167,2503
2015-10-17,228,68,280,228,97,374,1182,212,1228,576,699,2622
2015-10-18,306,70,287,304,79,413,811,221,1078,663,796,2110
2015-10-19,880,164,800,10845,2236,6839,1887,463,2010,1844,19920,4360
2015-10-20,474,82,485,289,125,345,3449,270,2341,1041,759,6060
2015-10-21,480,91,571,381,99,495,871,244,1148,1142,975,2263
2015-10-22,803,146,940,275,61,302,1001,267,1372,1889,638,2640
2015-10-23,481,151,527,1058,81,536,1106,269,1346,1159,1675,2721
2015-10-24,625,100,503,267,46,214,1237,166,1496,1228,527,2899
2015-10-25,423,72,495,173,34,153,1236,152,1145,990,360,2533
2015-10-26,336,82,384,348,67,514,674,202,675,802,929,1551
2015-10-27,557,116,612,290,71,414,915,260,1373,1285,775,2548
2015-10-28,324,85,426,299,77,398,1133,334,1426,835,774,2893
2015-10-29,720,127,693,366,61,311,1160,290,1455,1540,738,2905
2015-10-30,559,102,454,458,95,479,887,240,1268,1115,1032,2395
2015-10-31,195,69,235,189,80,266,558,220,729,499,535,1507
2015-11-01,357,92,313,295,68,321,567,116,656,762,684,1339
2015-11-02,749,184,750,506,114,575,949,257,1203,1683,1195,2409
2015-11-03,784,186,504,559,127,533,1226,306,1107,1474,1219,2639
2015-11-04,1385,172,1099,267,61,257,2389,365,1684,2656,585,4438
2015-11-05,1523,220,1231,527,127,457,1515,282,1373,2974,1111,3170
2015-11-06,6586,634,3668,593,124,670,2542,575,2580,10888,1387,5697
2015-11-07,491,97,402,559,117,546,901,237,971,990,1222,2109
