Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_nlikes,Total_nreplies,Total_nretweets
2015-10-01,85,20,137,22,7,22,114,49,206,221,76,365
2015-10-02,977,121,1315,22,11,19,125,41,193,1124,173,1527
2015-10-03,309,41,448,61,19,250,212,38,365,582,98,1063
2015-10-04,97,31,147,39,14,80,93,33,165,229,78,392
2015-10-05,123,21,177,16,8,23,311,112,507,450,141,707
2015-10-06,136,78,209,93,28,189,356,126,589,585,232,987
2015-10-07,122,61,190,66,28,136,331,47,525,519,136,851
2015-10-08,242,51,324,32,45,84,792,91,1209,1066,187,1617
2015-10-09,93,31,111,21,12,26,64,48,150,178,91,287
2015-10-10,45,15,71,40,14,69,77,14,128,162,43,268
2015-10-11,128,64,291,49,32,116,251,34,271,428,130,678
2015-10-12,183,71,357,91,19,165,310,211,643,584,301,1165
2015-10-13,115,43,278,59,18,207,314,121,558,488,182,1043
2015-10-14,23,12,33,52,33,110,132,56,275,207,101,418
2015-10-15,125,42,119,56,19,74,179,31,350,360,92,543
2015-10-16,201,32,461,33,31,119,93,28,149,327,91,729
2015-10-17,52,11,85,7,13,24,104,17,169,163,41,278
2015-10-18,207,70,254,98,54,113,323,196,546,628,320,913
2015-10-19,91,27,162,292,209,438,648,287,1286,1031,523,1886
2015-10-20,86,34,168,35,21,35,244,118,498,365,173,701
2015-10-21,211,82,168,145,93,349,168,47,318,524,222,835
2015-10-22,62,29,96,77,22,209,78,20,89,217,71,394
2015-10-23,706,44,313,78,29,270,102,71,227,886,144,810
2015-10-24,40,6,50,18,16,49,71,40,164,129,62,263
2015-10-25,36,12,20,35,13,38,79,23,111,150,48,169
2015-10-26,100,12,94,24,6,40,77,11,98,201,29,232
2015-10-27,66,20,73,116,73,170,139,36,225,321,129,468
2015-10-28,152,99,255,46,31,70,254,84,436,452,214,761
2015-10-29,435,41,293,70,35,76,204,77,308,709,153,677
2015-10-30,537,60,386,22,16,30,280,156,436,839,232,852
2015-10-31,31,8,39,64,27,97,101,29,214,196,64,350
2015-11-01,35,18,68,49,22,94,65,36,133,149,76,295
2015-11-02,77,17,110,19,16,63,93,28,195,189,61,368
2015-11-03,117,43,177,106,52,279,114,30,210,337,125,666
2015-11-04,49,16,98,45,19,81,124,39,277,218,74,456
2015-11-05,91,34,119,82,16,132,873,210,949,1046,260,1200
2015-11-06,127,59,317,61,41,203,462,122,1203,650,222,1723
2015-11-07,104,35,252,63,14,247,109,44,349,276,93,848
2015-11-08,43,14,44,44,32,94,128,56,285,215,102,423
2015-11-09,140,27,186,41,16,71,126,43,371,307,86,628
