Date,Negative,Positive,Neutral,Total,Percentage_neg,Percentage_pos,Percentage_neutr
2019-10-01,275,448,229,952,28.886554621848738,47.05882352941176,24.054621848739497
2019-10-02,383,560,277,1220,31.39344262295082,45.90163934426229,22.704918032786885
2019-10-03,287,391,191,869,33.026467203682394,44.99424626006904,21.979286536248562
2019-10-04,240,716,219,1175,20.425531914893615,60.93617021276596,18.638297872340427
2019-10-05,211,535,159,905,23.314917127071823,59.11602209944752,17.569060773480665
2019-10-06,157,406,108,671,23.39791356184799,60.50670640834576,16.095380029806257
2019-10-07,148,453,132,733,20.190995907230562,61.80081855388813,18.00818553888131
2019-10-08,235,457,197,889,26.43419572553431,51.40607424071991,22.15973003374578
2019-10-09,168,412,112,692,24.277456647398843,59.53757225433526,16.184971098265898
2019-10-10,212,484,166,862,24.593967517401392,56.148491879350345,19.25754060324826
2019-10-11,303,578,137,1018,29.764243614931235,56.777996070726914,13.457760314341845
2019-10-12,123,409,137,669,18.385650224215247,61.13602391629297,20.47832585949178
2019-10-13,196,362,125,683,28.69692532942899,53.00146412884333,18.301610541727673
2019-10-14,334,313,183,830,40.24096385542168,37.71084337349397,22.048192771084338
2019-10-15,213,456,183,852,25.0,53.52112676056338,21.47887323943662
2019-10-16,177,441,163,781,22.66325224071703,56.466069142125484,20.87067861715749
2019-10-17,140,331,135,606,23.1023102310231,54.62046204620462,22.277227722772277
2019-10-18,144,405,101,650,22.153846153846153,62.30769230769231,15.538461538461537
2019-10-19,120,193,108,421,28.50356294536817,45.843230403800476,25.653206650831358
2019-10-20,127,171,109,407,31.203931203931205,42.01474201474201,26.78132678132678
2019-10-21,177,258,108,543,32.59668508287293,47.51381215469613,19.88950276243094
2019-10-22,155,255,132,542,28.59778597785978,47.0479704797048,24.354243542435423
2019-10-23,531,431,215,1177,45.11469838572642,36.61852166525064,18.26677994902294
2019-10-24,717,612,305,1634,43.880048959608324,37.454100367197064,18.665850673194615
2019-10-25,371,344,174,889,41.732283464566926,38.69516310461192,19.572553430821145
2019-10-26,305,260,138,703,43.3854907539118,36.98435277382646,19.630156472261735
2019-10-27,278,231,141,650,42.769230769230774,35.53846153846154,21.69230769230769
