Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_Positive,Total_Negative,Total_Neutral
2019-10-01,9482,853,2124,1317,190,317,6282,386,1822,12459,1824,8490
2019-10-02,7734,842,2570,2946,272,862,1024,175,424,11146,4080,1623
2019-10-03,7449,639,2452,5406,443,2111,70322,2421,28829,10540,7960,101572
2019-10-04,3230,483,1573,627,96,241,2103,227,803,5286,964,3133
2019-10-05,5555,293,1658,798,113,382,410,99,202,7506,1293,711
2019-10-06,2479,396,747,1710,164,740,2630,212,934,3622,2614,3776
2019-10-07,1112,166,637,1525,123,815,456,117,269,1915,2463,842
2019-10-08,2260,232,781,650,214,303,849,115,366,3273,1167,1330
2019-10-09,1489,239,485,345,83,103,267,75,101,2213,531,443
2019-10-10,2094,175,545,1635,165,554,1041,124,380,2814,2354,1545
2019-10-11,2535,203,1174,5568,608,2745,459,108,239,3912,8921,806
2019-10-12,9312,506,3290,884,67,413,449,48,189,13108,1364,686
2019-10-13,963,130,299,693,150,130,256,67,64,1392,973,387
2019-10-14,2138,347,1599,2648,133,2152,1961,104,747,4084,4933,2812
2019-10-15,3301,368,1960,1391,162,584,1476,130,270,5629,2137,1876
2019-10-16,916,179,327,634,135,487,760,133,235,1422,1256,1128
2019-10-17,1647,252,606,1319,316,863,597,79,268,2505,2498,944
2019-10-18,1325,167,375,1167,117,827,2114,392,1988,1867,2111,4494
2019-10-19,1161,130,559,1544,114,411,487,75,340,1850,2069,902
2019-10-20,818,125,204,378,88,113,266,65,82,1147,579,413
2019-10-21,2596,316,1802,21267,1501,4435,280,36,90,4714,27203,406
2019-10-22,1454,192,361,1710,102,1495,179,67,75,2007,3307,321
2019-10-23,2487,394,806,4142,469,1654,1214,692,704,3687,6265,2610
2019-10-24,8883,704,2109,3823,1377,1264,1551,299,602,11696,6464,2452
2019-10-25,2979,268,1074,2718,432,1292,316,76,137,4321,4442,529
2019-10-26,1582,222,395,2849,252,925,744,75,333,2199,4026,1152
2019-10-27,2621,311,1622,649,111,304,391,60,98,4554,1064,549
2019-10-28,3471,353,1386,557,151,277,353,58,121,5210,985,532
2019-10-29,1576,274,647,881,93,313,135,64,64,2497,1287,263
2019-10-30,11478,742,3059,292,107,132,838,157,620,15279,531,1615
2019-10-31,3643,794,1505,769,133,666,390,57,237,5942,1568,684
2019-11-01,2588,184,1212,676,87,189,719,134,272,3984,952,1125
2019-11-02,3884,1171,625,365,82,131,142,38,49,5680,578,229
2019-11-03,2455,326,423,842,81,190,4363,186,1927,3204,1113,6476
2019-11-04,679,150,239,1946,219,742,2965,108,1321,1068,2907,4394
2019-11-05,1548,164,621,1239,115,728,302,51,118,2333,2082,471
2019-11-06,2413,164,720,198,64,82,112,37,51,3297,344,200
2019-11-07,3265,1659,693,2316,1357,1077,209,40,69,5617,4750,318
2019-11-08,1245,149,378,752,137,322,622,70,201,1772,1211,893
2019-11-09,1543,137,662,7207,216,1465,473,57,247,2342,8888,777
2019-11-10,6939,645,1601,7031,371,3106,399,52,142,9185,10508,593
2019-11-11,1069,161,433,680,124,171,366,48,227,1663,975,641
2019-11-12,3330,237,959,464,84,176,2224,366,1869,4526,724,4459
2019-11-13,2110,207,1510,4901,696,5142,1212,85,749,3827,10739,2046
2019-11-14,8805,928,3357,29161,3440,12936,1424,293,700,13090,45537,2417
2019-11-15,5853,518,1545,2783,480,1792,774,142,305,7916,5055,1221
2019-11-16,867,167,440,1289,521,1408,257,58,88,1474,3218,403
2019-11-17,64020,3982,20384,6062,653,1638,19848,2792,6578,88386,8353,29218
2019-11-18,2246,269,839,19283,1357,7094,992,120,451,3354,27734,1563
2019-11-19,924,211,392,2679,250,1985,450,102,167,1527,4914,719
2019-11-20,1409,265,517,763,136,182,538,79,415,2191,1081,1032
2019-11-21,3598,315,1236,1964,248,467,440,74,223,5149,2679,737
2019-11-22,1360,202,498,766,115,281,998,70,468,2060,1162,1536
2019-11-23,919,126,359,233,67,77,1171,78,562,1404,377,1811
2019-11-24,994,188,594,1010,768,366,294,68,71,1776,2144,433
2019-11-25,3764,611,1346,992,131,341,954,78,432,5721,1464,1464
2019-11-26,4308,260,1615,709,179,690,564,138,266,6183,1578,968
2019-11-27,881,92,537,1388,166,737,713,69,307,1510,2291,1089
2019-11-28,1244,182,401,718,126,382,354,48,225,1827,1226,627
2019-11-29,1151,158,373,2532,1324,1885,375,67,216,1682,5741,658
2019-11-30,7071,548,1070,8479,702,4302,8352,201,1764,8689,13483,10317
2019-12-01,2238,128,810,1088,82,143,343,92,90,3176,1313,525
2019-12-02,2862,328,735,3342,357,1262,448,64,201,3925,4961,713
2019-12-03,2062,255,667,496,134,165,384,158,227,2984,795,769
2019-12-04,1309,152,619,1310,106,433,277,49,58,2080,1849,384
2019-12-05,10783,534,4219,581,116,160,266,59,89,15536,857,414
2019-12-06,2294,218,1060,604,121,326,464,70,218,3572,1051,752
2019-12-07,3331,282,852,1186,121,573,140,27,81,4465,1880,248
2019-12-08,2753,376,1204,751,138,310,1089,109,408,4333,1199,1606
2019-12-09,13394,6386,5427,8352,693,3076,6804,354,2451,25207,12121,9609
2019-12-10,2678,242,837,1614,229,635,2735,136,434,3757,2478,3305
2019-12-11,16263,575,5152,1393,163,589,573,73,233,21990,2145,879
2019-12-12,7492,628,2794,3585,291,840,1460,128,525,10914,4716,2113
2019-12-13,13171,8132,2550,15807,1281,3388,1254,180,225,23853,20476,1659
2019-12-14,3208,446,1383,866,164,234,833,104,213,5037,1264,1150
2019-12-15,5641,273,435,701,237,207,3172,236,1924,6349,1145,5332
