Date,Negative,Positive,Neutral,Total,Percentage_neg,Percentage_pos,Percentage_neutr
2015-10-01,67,263,163,493,13.590263691683571,53.34685598377283,33.062880324543606
2015-10-02,47,256,139,442,10.633484162895927,57.9185520361991,31.447963800904976
2015-10-03,39,194,128,361,10.80332409972299,53.73961218836565,35.45706371191136
2015-10-04,29,138,79,246,11.788617886178862,56.09756097560976,32.113821138211385
2015-10-05,43,230,131,404,10.643564356435643,56.930693069306926,32.42574257425743
2015-10-06,57,252,130,439,12.984054669703873,57.40318906605923,29.6127562642369
2015-10-07,53,211,159,423,12.529550827423167,49.881796690307326,37.5886524822695
2015-10-08,27,195,158,380,7.105263157894736,51.31578947368421,41.578947368421055
2015-10-09,51,280,436,767,6.6492829204693615,36.50586701434159,56.84485006518904
2015-10-10,39,270,399,708,5.508474576271186,38.13559322033898,56.355932203389834
2015-10-11,44,186,184,414,10.628019323671497,44.927536231884055,44.44444444444444
2015-10-12,64,200,207,471,13.588110403397028,42.462845010615716,43.94904458598726
2015-10-13,87,231,144,462,18.83116883116883,50.0,31.16883116883117
2015-10-14,79,217,140,436,18.11926605504587,49.77064220183486,32.11009174311927
2015-10-15,34,222,134,390,8.717948717948717,56.92307692307692,34.35897435897436
2015-10-16,35,175,131,341,10.263929618768328,51.31964809384164,38.41642228739003
2015-10-17,35,117,78,230,15.217391304347828,50.8695652173913,33.91304347826087
2015-10-18,27,105,71,203,13.30049261083744,51.724137931034484,34.97536945812808
2015-10-19,38,161,121,320,11.875,50.31250000000001,37.8125
2015-10-20,44,230,126,400,11.0,57.49999999999999,31.5
2015-10-21,29,199,107,335,8.656716417910449,59.40298507462687,31.94029850746269
2015-10-22,39,217,83,339,11.504424778761061,64.0117994100295,24.48377581120944
2015-10-23,45,214,112,371,12.129380053908356,57.68194070080862,30.18867924528302
2015-10-24,55,161,94,310,17.741935483870968,51.935483870967744,30.32258064516129
2015-10-25,147,165,208,520,28.26923076923077,31.73076923076923,40.0
2015-10-26,59,215,80,354,16.666666666666664,60.73446327683616,22.598870056497177
2015-10-27,39,224,95,358,10.893854748603351,62.56983240223464,26.536312849162012
2015-10-28,41,221,131,393,10.432569974554708,56.234096692111954,33.33333333333333
2015-10-29,101,234,164,499,20.240480961923847,46.893787575150306,32.86573146292585
2015-10-30,44,221,159,424,10.377358490566039,52.12264150943396,37.5
2015-10-31,28,183,102,313,8.945686900958465,58.46645367412141,32.587859424920126
2015-11-01,21,143,129,293,7.167235494880546,48.80546075085324,44.027303754266214
2015-11-02,61,203,158,422,14.454976303317535,48.1042654028436,37.44075829383886
2015-11-03,35,229,142,406,8.620689655172415,56.40394088669951,34.97536945812808
2015-11-04,35,233,177,445,7.865168539325842,52.359550561797754,39.7752808988764
2015-11-05,54,207,122,383,14.099216710182768,54.04699738903395,31.853785900783286
2015-11-06,31,186,82,299,10.367892976588628,62.207357859531776,27.424749163879596
2015-11-07,29,132,89,250,11.600000000000001,52.800000000000004,35.6
2015-11-08,36,133,88,257,14.007782101167315,51.75097276264592,34.24124513618677
2015-11-09,66,238,125,429,15.384615384615385,55.47785547785548,29.13752913752914
2015-11-10,35,200,80,315,11.11111111111111,63.49206349206349,25.396825396825395
2015-11-11,30,171,78,279,10.75268817204301,61.29032258064516,27.956989247311824
2015-11-12,32,203,102,337,9.495548961424333,60.23738872403561,30.267062314540063
2015-11-13,42,249,115,406,10.344827586206897,61.330049261083744,28.32512315270936
2015-11-14,23,136,119,278,8.273381294964029,48.92086330935252,42.805755395683455
2015-11-15,22,177,85,284,7.746478873239436,62.323943661971825,29.929577464788732
2015-11-16,88,244,80,412,21.35922330097087,59.22330097087378,19.41747572815534
2015-11-17,53,232,107,392,13.520408163265307,59.183673469387756,27.29591836734694
2015-11-18,76,188,150,414,18.357487922705314,45.410628019323674,36.231884057971016
2015-11-19,157,287,176,620,25.322580645161292,46.29032258064516,28.387096774193548
2015-11-20,129,325,179,633,20.379146919431278,51.342812006319114,28.278041074249604
2015-11-21,49,203,89,341,14.369501466275661,59.530791788856305,26.099706744868033
2015-11-22,46,177,111,334,13.77245508982036,52.99401197604791,33.23353293413174
2015-11-23,47,226,152,425,11.058823529411764,53.17647058823529,35.76470588235294
2015-11-24,48,264,103,415,11.566265060240964,63.614457831325296,24.819277108433734
2015-11-25,50,237,172,459,10.893246187363834,51.633986928104584,37.47276688453159
2015-11-26,45,274,180,499,9.01803607214429,54.90981963927856,36.07214428857716
2015-11-27,125,273,159,557,22.44165170556553,49.012567324955114,28.545780969479356
2015-11-28,62,184,91,337,18.397626112759642,54.59940652818991,27.002967359050444
2015-11-29,31,214,58,303,10.231023102310232,70.62706270627062,19.141914191419144
2015-11-30,39,231,106,376,10.372340425531915,61.43617021276596,28.191489361702125
2015-12-01,50,211,108,369,13.550135501355012,57.18157181571816,29.268292682926827
