Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_nlikes,Total_nreplies,Total_nretweets
2019-10-01,1160,143,358,365,69,180,264,33,65,1789,245,603
2019-10-02,928,128,225,739,488,236,178,26,48,1845,642,509
2019-10-03,7085,286,1052,672,92,113,327,46,86,8084,424,1251
2019-10-04,2313,167,579,629,93,174,571,55,118,3513,315,871
2019-10-05,10751,480,3550,1193,149,246,419,34,141,12363,663,3937
2019-10-06,3877,435,786,10843,210,1228,642,77,229,15362,722,2243
2019-10-07,1832,195,563,1190,88,283,358,58,80,3380,341,926
2019-10-08,1389,142,378,597,59,208,449,80,110,2435,281,696
2019-10-09,3670,287,1026,462,52,88,628,85,204,4760,424,1318
2019-10-10,1245,157,404,382,72,109,213,46,63,1840,275,576
2019-10-11,2232,338,611,384,76,84,450,57,196,3066,471,891
2019-10-12,3601,161,484,760,58,220,439,37,56,4800,256,760
2019-10-13,497,105,103,767,93,228,897,94,595,2161,292,926
2019-10-14,2390,380,742,713,52,279,416,43,154,3519,475,1175
2019-10-15,4119,473,1342,8171,179,2004,1142,78,417,13432,730,3763
2019-10-16,2671,178,616,903,65,219,187,29,74,3761,272,909
2019-10-17,3445,199,623,511,72,104,402,109,135,4358,380,862
2019-10-18,2390,234,439,542,113,134,519,98,161,3451,445,734
2019-10-19,3592,492,852,7352,521,1227,2540,114,1438,13484,1127,3517
2019-10-20,1683,245,329,1053,107,473,555,152,328,3291,504,1130
2019-10-21,2063,203,376,1573,89,317,1610,113,590,5246,405,1283
2019-10-22,1814,154,543,528,47,106,741,58,192,3083,259,841
2019-10-23,3907,332,843,820,86,171,550,90,103,5277,508,1117
2019-10-24,4991,318,1352,1243,89,172,310,41,81,6544,448,1605
2019-10-25,3610,225,943,1298,137,360,665,63,247,5573,425,1550
2019-10-26,3359,210,729,1687,160,1111,874,95,178,5920,465,2018
2019-10-27,2732,180,545,3378,1234,1275,211,26,54,6321,1440,1874
