Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_nlikes,Total_nreplies,Total_nretweets
2015-10-01,282,130,470,344,108,550,629,240,1083,1255,478,2103
2015-10-02,496,140,575,469,136,883,961,304,2151,1926,580,3609
2015-10-03,739,153,975,177,57,289,1041,285,2892,1957,495,4156
2015-10-04,963,141,2024,896,156,933,977,252,1689,2836,549,4646
2015-10-05,510,141,794,269,98,1226,1005,256,1715,1784,495,3735
2015-10-06,1023,453,2600,762,137,1141,770,377,1513,2555,967,5254
2015-10-07,1268,203,3515,257,94,454,1205,328,1973,2730,625,5942
2015-10-08,847,295,1167,198,95,376,595,166,1722,1640,556,3265
2015-10-09,340,115,514,138,91,507,532,177,871,1010,383,1892
2015-10-10,325,97,402,133,54,181,332,143,659,790,294,1242
2015-10-11,254,128,372,312,105,401,478,185,913,1044,418,1686
2015-10-12,640,179,1152,536,120,801,1105,339,1777,2281,638,3730
2015-10-13,796,153,1057,375,134,979,1758,587,3720,2929,874,5756
2015-10-14,792,162,1235,468,210,778,839,354,1244,2099,726,3257
2015-10-15,524,102,696,200,111,580,826,283,1494,1550,496,2770
2015-10-16,413,168,712,190,107,340,809,232,1625,1412,507,2677
2015-10-17,455,143,922,134,65,319,488,169,2296,1077,377,3537
2015-10-18,218,103,778,210,79,376,444,210,1202,872,392,2356
2015-10-19,587,201,857,450,114,871,1224,360,2444,2261,675,4172
2015-10-20,1214,340,1656,517,177,840,1513,418,2513,3244,935,5009
2015-10-21,621,249,1066,396,166,615,982,289,1873,1999,704,3554
2015-10-22,821,260,1431,703,183,1316,2073,634,3919,3597,1077,6666
2015-10-23,503,175,969,262,68,357,989,300,2061,1754,543,3387
2015-10-24,178,89,324,140,50,249,442,176,742,760,315,1315
2015-10-25,288,218,893,332,122,600,520,241,1584,1140,581,3077
2015-10-26,424,121,743,443,124,770,1428,354,2297,2295,599,3810
2015-10-27,525,175,1053,487,149,882,1005,424,4928,2017,748,6863
2015-10-28,841,232,2084,552,197,1301,985,242,1809,2378,671,5194
2015-10-29,643,195,1316,345,127,742,909,291,2258,1897,613,4316
2015-10-30,361,183,542,321,101,521,1302,404,3714,1984,688,4777
2015-10-31,183,86,341,124,37,185,489,177,1364,796,300,1890
2015-11-01,1357,231,1495,280,107,656,1052,374,3533,2689,712,5684
2015-11-02,2240,259,3743,344,146,539,794,271,1932,3378,676,6214
2015-11-03,774,228,1393,291,113,596,966,279,2122,2031,620,4111
2015-11-04,754,148,1750,643,176,1362,1552,373,3544,2949,697,6656
2015-11-05,477,162,748,342,131,1504,1227,320,2440,2046,613,4692
2015-11-06,681,221,809,252,76,615,1147,292,2551,2080,589,3975
2015-11-07,284,111,579,213,78,468,467,165,1015,964,354,2062
2015-11-08,388,136,639,391,119,714,390,221,785,1169,476,2138
2015-11-09,862,212,1523,419,141,899,928,340,1921,2209,693,4343
2015-11-10,1231,366,2624,315,140,697,1121,354,2560,2667,860,5881
2015-11-11,428,109,751,460,214,1000,1096,341,2068,1984,664,3819
2015-11-12,3263,623,3782,1141,203,1959,5039,953,7132,9443,1779,12873
2015-11-13,701,165,852,353,123,628,2263,309,4022,3317,597,5502
2015-11-14,409,92,409,494,133,785,965,235,1471,1868,460,2665
2015-11-15,183,71,418,129,65,228,425,189,904,737,325,1550
2015-11-16,588,204,722,404,125,579,1112,428,1985,2104,757,3286
2015-11-17,434,105,718,263,105,413,2287,569,4189,2984,779,5320
2015-11-18,941,252,1433,306,92,573,1193,251,1640,2440,595,3646
2015-11-19,631,240,768,400,105,717,1803,370,5341,2834,715,6826
2015-11-20,461,113,726,190,88,374,1672,300,2746,2323,501,3846
2015-11-21,281,114,777,99,62,151,1015,162,2044,1395,338,2972
2015-11-22,418,172,547,333,81,453,737,230,1422,1488,483,2422
2015-11-23,1101,424,1760,314,101,680,798,215,1347,2213,740,3787
2015-11-24,498,125,1653,266,77,275,1471,430,3517,2235,632,5445
2015-11-25,978,231,1287,288,109,541,1734,392,4198,3000,732,6026
2015-11-26,585,257,880,292,119,365,1678,453,2496,2555,829,3741
2015-11-27,546,159,823,296,74,473,1611,477,2351,2453,710,3647
2015-11-28,1390,219,785,144,79,200,827,276,1733,2361,574,2718
2015-11-29,355,152,464,520,99,902,1182,348,1940,2057,599,3306
2015-11-30,1203,321,1761,330,103,596,1483,461,2509,3016,885,4866
2015-12-01,541,181,846,1648,321,2116,1395,475,2150,3584,977,5112
2015-12-02,3636,639,4147,2268,329,2518,5056,1262,7026,10960,2230,13691
2015-12-03,1071,291,1246,2765,576,2305,1993,492,3680,5829,1359,7231
2015-12-04,1281,295,2640,344,128,432,773,269,1537,2398,692,4609
2015-12-05,633,116,933,354,71,411,645,177,1120,1632,364,2464
2015-12-06,586,173,716,211,107,373,520,193,1047,1317,473,2136
2015-12-07,556,198,821,253,87,508,993,220,1440,1802,505,2769
2015-12-08,532,184,629,692,204,900,1705,375,2085,2929,763,3614
2015-12-09,588,166,654,318,122,474,1383,278,2058,2289,566,3186
2015-12-10,2592,387,2833,526,127,758,1930,527,2759,5048,1041,6350
2015-12-11,618,188,1054,184,96,271,574,204,1425,1376,488,2750
2015-12-12,693,250,1428,164,58,276,544,263,1678,1401,571,3382
2015-12-13,643,200,3246,177,96,229,1249,302,1914,2069,598,5389
2015-12-14,822,243,1690,331,78,437,860,254,1945,2013,575,4072
2015-12-15,443,149,823,193,76,762,1174,328,2894,1810,553,4479
2015-12-16,801,159,1914,284,95,400,1365,345,7941,2450,599,10255
2015-12-17,867,211,6427,285,95,630,1143,340,13315,2295,646,20372
2015-12-18,503,127,4237,332,85,672,880,180,6216,1715,392,11125
2015-12-19,266,103,4125,290,102,1683,413,144,1892,969,349,7700
2015-12-20,359,107,4074,256,102,562,573,168,1503,1188,377,6139
2015-12-21,398,108,834,280,117,527,770,223,3638,1448,448,4999
2015-12-22,357,98,784,120,54,227,717,198,15403,1194,350,16414
2015-12-23,378,130,766,293,116,708,648,272,4659,1319,518,6133
2015-12-24,152,51,194,140,43,220,741,231,2263,1033,325,2677
2015-12-25,207,34,445,72,25,176,248,79,783,527,138,1404
2015-12-26,134,48,481,314,95,479,544,135,3019,992,278,3979
2015-12-27,317,99,1227,227,70,326,673,224,1913,1217,393,3466
2015-12-28,853,196,935,195,75,335,653,169,2345,1701,440,3615
2015-12-29,259,96,395,211,70,472,694,167,2339,1164,333,3206
2015-12-30,516,177,606,437,100,923,1388,366,2470,2341,643,3999
2015-12-31,432,126,526,252,136,694,1278,378,2471,1962,640,3691
2016-01-01,297,109,317,335,138,468,530,362,836,1162,609,1621
2016-01-02,311,104,539,299,99,485,978,273,2298,1588,476,3322
2016-01-03,545,125,1093,254,88,556,1027,351,2408,1826,564,4057
2016-01-04,404,134,1341,389,143,1220,1062,301,3247,1855,578,5808
2016-01-05,752,219,1107,456,144,649,1709,513,2348,2917,876,4104
2016-01-06,668,190,932,810,225,1371,1350,369,2428,2828,784,4731
2016-01-07,551,170,833,654,201,1233,1379,472,2713,2584,843,4779
2016-01-08,496,157,681,331,113,384,1507,321,2618,2334,591,3683
2016-01-09,365,171,711,156,71,186,935,220,2689,1456,462,3586
2016-01-10,415,168,975,291,159,465,683,239,1233,1389,566,2673
2016-01-11,570,108,1141,298,86,650,915,188,1538,1783,382,3329
2016-01-12,1034,360,2448,314,118,526,1332,270,3468,2680,748,6442
2016-01-13,776,143,1697,261,84,367,715,222,1148,1752,449,3212
2016-01-14,565,150,622,279,128,510,917,290,1319,1761,568,2451
2016-01-15,457,165,624,174,47,316,534,235,1620,1165,447,2560
2016-01-16,507,142,1212,223,71,302,738,141,1469,1468,354,2983
2016-01-17,289,137,347,325,150,778,857,263,2154,1471,550,3279
2016-01-18,1767,492,1486,1456,466,1217,2604,932,4214,5827,1890,6917
2016-01-19,951,253,1090,690,117,709,1353,277,3134,2994,647,4933
2016-01-20,703,201,989,422,97,588,1162,404,2804,2287,702,4381
2016-01-21,790,226,1101,469,183,771,1521,309,2124,2780,718,3996
2016-01-22,565,161,859,599,109,1368,1227,322,2816,2391,592,5043
2016-01-23,330,89,397,176,85,255,879,160,1850,1385,334,2502
2016-01-24,554,167,1339,1254,236,2622,1486,778,2712,3294,1181,6673
2016-01-25,754,246,1357,495,144,933,1050,506,1827,2299,896,4117
2016-01-26,721,216,1711,495,212,1114,1355,794,2407,2571,1222,5232
2016-01-27,653,150,920,400,139,660,1694,324,2758,2747,613,4338
2016-01-28,1119,223,1693,390,133,649,1487,492,2337,2996,848,4679
2016-01-29,584,146,871,717,252,1273,967,234,1540,2268,632,3684
2016-01-30,290,104,394,552,202,640,424,148,580,1266,454,1614
2016-01-31,370,148,672,269,89,455,713,263,1332,1352,500,2459
2016-02-01,373,141,527,431,132,875,1091,327,1832,1895,600,3234
2016-02-02,1014,242,1367,352,124,389,1513,411,2480,2879,777,4236
2016-02-03,707,260,950,588,125,826,1586,556,2931,2881,941,4707
2016-02-04,805,177,1178,291,109,500,1199,385,1948,2295,671,3626
2016-02-05,559,232,738,531,134,702,1150,300,1797,2240,666,3237
2016-02-06,389,112,507,458,113,1387,673,199,1735,1520,424,3629
2016-02-07,386,135,908,181,83,334,477,146,995,1044,364,2237
2016-02-08,447,180,629,550,277,779,1103,507,1700,2100,964,3108
2016-02-09,673,253,1035,555,119,835,768,221,1491,1996,593,3361
2016-02-10,593,184,1160,280,125,524,1272,340,2612,2145,649,4296
2016-02-11,615,273,1492,272,99,390,1064,270,2847,1951,642,4729
2016-02-12,1383,182,1683,453,102,674,1084,306,2041,2920,590,4398
2016-02-13,614,211,820,309,84,666,875,304,2205,1798,599,3691
