Date,Negative,Total,Percentage
2015-10-01,48,502,9.56175298804781
2015-10-02,55,630,8.73015873015873
2015-10-03,43,628,6.8471337579617835
2015-10-04,46,348,13.218390804597702
2015-10-05,56,524,10.687022900763358
2015-10-06,162,892,18.161434977578477
2015-10-07,122,681,17.91483113069016
2015-10-08,198,783,25.287356321839084
2015-10-09,148,549,26.958105646630237
2015-10-10,49,267,18.352059925093634
2015-10-11,82,871,9.414466130884042
2015-10-12,126,1480,8.513513513513514
2015-10-13,237,1220,19.42622950819672
2015-10-14,183,639,28.638497652582164
2015-10-15,128,577,22.183708838821488
2015-10-16,100,393,25.44529262086514
2015-10-17,61,363,16.804407713498623
2015-10-18,121,1237,9.781729991915926
2015-10-19,136,927,14.670981661272922
2015-10-20,59,528,11.174242424242424
2015-10-21,351,672,52.23214285714286
2015-10-22,161,458,35.1528384279476
2015-10-23,136,462,29.43722943722944
2015-10-24,76,270,28.14814814814815
2015-10-25,59,253,23.3201581027668
2015-10-26,45,330,13.636363636363635
2015-10-27,56,333,16.816816816816818
2015-10-28,81,511,15.851272015655576
2015-10-29,58,452,12.831858407079647
2015-10-30,102,1043,9.77948226270374
2015-10-31,92,327,28.134556574923547
2015-11-01,105,365,28.767123287671232
2015-11-02,66,371,17.78975741239892
2015-11-03,216,553,39.059674502712475
2015-11-04,98,473,20.718816067653275
2015-11-05,129,543,23.756906077348066
2015-11-06,96,666,14.414414414414415
2015-11-07,75,508,14.763779527559054
2015-11-08,168,395,42.53164556962025
2015-11-09,112,434,25.806451612903224
2015-11-10,85,451,18.8470066518847
2015-11-11,84,536,15.671641791044777
2015-11-12,81,480,16.875
2015-11-13,163,595,27.39495798319328
2015-11-14,288,2819,10.21638879035119
2015-11-15,235,1890,12.433862433862434
2015-11-16,139,1310,10.610687022900764
2015-11-17,195,3113,6.264053967234179
2015-11-18,203,1820,11.153846153846155
2015-11-19,127,823,15.43134872417983
2015-11-20,59,693,8.513708513708513
2015-11-21,46,375,12.266666666666666
2015-11-22,45,267,16.853932584269664
2015-11-23,59,361,16.343490304709142
2015-11-24,61,440,13.863636363636363
2015-11-25,128,486,26.337448559670783
2015-11-26,85,801,10.611735330836455
2015-11-27,80,473,16.913319238900634
2015-11-28,96,453,21.192052980132452
2015-11-29,105,381,27.559055118110237
2015-11-30,49,390,12.564102564102564
2015-12-01,72,461,15.61822125813449
2015-12-02,220,919,23.939064200217626
2015-12-03,113,943,11.983032873807
2015-12-04,86,420,20.476190476190474
2015-12-05,32,285,11.228070175438596
2015-12-06,823,1039,79.21077959576516
2015-12-07,419,719,58.27538247566064
2015-12-08,160,482,33.19502074688796
2015-12-09,67,676,9.911242603550296
2015-12-10,82,473,17.33615221987315
2015-12-11,69,563,12.25577264653641
2015-12-12,37,285,12.982456140350877
2015-12-13,41,324,12.654320987654321
2015-12-14,71,388,18.298969072164947
2015-12-15,76,383,19.843342036553523
2015-12-16,76,1432,5.307262569832402
2015-12-17,67,568,11.795774647887324
2015-12-18,82,432,18.98148148148148
2015-12-19,129,383,33.68146214099217
2015-12-20,71,250,28.4
2015-12-21,145,374,38.770053475935825
2015-12-22,38,339,11.209439528023598
2015-12-23,122,384,31.770833333333332
2015-12-24,101,398,25.376884422110553
2015-12-25,33,428,7.710280373831775
2015-12-26,61,247,24.696356275303643
2015-12-27,74,294,25.170068027210885
2015-12-28,36,240,15.0
2015-12-29,32,207,15.458937198067632
