Date,Negative,Positive,Neutral,Total,Percentage_neg,Percentage_pos,Percentage_neutr
2015-10-01,48,125,329,502,9.56175298804781,24.900398406374503,65.5378486055777
2015-10-02,55,244,331,630,8.73015873015873,38.730158730158735,52.539682539682545
2015-10-03,43,334,251,628,6.8471337579617835,53.18471337579618,39.96815286624204
2015-10-04,46,97,205,348,13.218390804597702,27.873563218390807,58.90804597701149
2015-10-05,56,121,347,524,10.687022900763358,23.091603053435115,66.22137404580153
2015-10-06,162,236,494,892,18.161434977578477,26.45739910313901,55.381165919282516
2015-10-07,122,212,347,681,17.91483113069016,31.130690161527163,50.95447870778267
2015-10-08,198,128,457,783,25.287356321839084,16.347381864623244,58.36526181353767
2015-10-09,148,121,280,549,26.958105646630237,22.040072859744992,51.001821493624774
2015-10-10,49,72,146,267,18.352059925093634,26.96629213483146,54.68164794007491
2015-10-11,82,511,278,871,9.414466130884042,58.66819747416763,31.917336394948336
2015-10-12,126,367,987,1480,8.513513513513514,24.7972972972973,66.6891891891892
2015-10-13,237,154,829,1220,19.42622950819672,12.622950819672132,67.95081967213115
2015-10-14,183,117,339,639,28.638497652582164,18.30985915492958,53.051643192488264
2015-10-15,128,122,327,577,22.183708838821488,21.143847487001732,56.672443674176776
2015-10-16,100,90,203,393,25.44529262086514,22.900763358778626,51.653944020356235
2015-10-17,61,62,240,363,16.804407713498623,17.079889807162534,66.11570247933885
2015-10-18,121,235,881,1237,9.781729991915926,18.997574777687955,71.22069523039613
2015-10-19,136,125,666,927,14.670981661272922,13.484358144552319,71.84466019417476
2015-10-20,59,110,359,528,11.174242424242424,20.833333333333336,67.99242424242425
2015-10-21,351,125,196,672,52.23214285714286,18.601190476190478,29.166666666666668
2015-10-22,161,127,170,458,35.1528384279476,27.729257641921397,37.117903930131
2015-10-23,136,120,206,462,29.43722943722944,25.97402597402597,44.58874458874459
2015-10-24,76,62,132,270,28.14814814814815,22.962962962962962,48.888888888888886
2015-10-25,59,56,138,253,23.3201581027668,22.134387351778656,54.54545454545454
2015-10-26,45,99,186,330,13.636363636363635,30.0,56.36363636363636
2015-10-27,56,87,190,333,16.816816816816818,26.126126126126124,57.05705705705706
2015-10-28,81,132,298,511,15.851272015655576,25.83170254403131,58.31702544031311
2015-10-29,58,115,279,452,12.831858407079647,25.442477876106196,61.72566371681416
2015-10-30,102,166,775,1043,9.77948226270374,15.915627996164908,74.30488974113135
2015-10-31,92,43,192,327,28.134556574923547,13.149847094801222,58.71559633027523
2015-11-01,105,47,213,365,28.767123287671232,12.876712328767123,58.35616438356165
2015-11-02,66,103,202,371,17.78975741239892,27.762803234501348,54.44743935309974
2015-11-03,216,137,200,553,39.059674502712475,24.77396021699819,36.166365280289334
2015-11-04,98,108,267,473,20.718816067653275,22.832980972515855,56.448202959830866
2015-11-05,129,104,310,543,23.756906077348066,19.152854511970535,57.0902394106814
2015-11-06,96,180,390,666,14.414414414414415,27.027027027027028,58.55855855855856
2015-11-07,75,169,264,508,14.763779527559054,33.267716535433074,51.96850393700787
2015-11-08,168,82,145,395,42.53164556962025,20.759493670886076,36.708860759493675
2015-11-09,112,108,214,434,25.806451612903224,24.88479262672811,49.30875576036866
2015-11-10,85,138,228,451,18.8470066518847,30.598669623059866,50.554323725055426
2015-11-11,84,98,354,536,15.671641791044777,18.28358208955224,66.04477611940298
2015-11-12,81,114,285,480,16.875,23.75,59.375
2015-11-13,163,126,306,595,27.39495798319328,21.176470588235293,51.42857142857142
2015-11-14,288,265,2266,2819,10.21638879035119,9.400496630010641,80.38311457963817
2015-11-15,235,210,1445,1890,12.433862433862434,11.11111111111111,76.45502645502646
2015-11-16,139,244,927,1310,10.610687022900764,18.62595419847328,70.76335877862596
2015-11-17,195,598,2320,3113,6.264053967234179,19.20976549951815,74.52618053324767
2015-11-18,203,320,1297,1820,11.153846153846155,17.582417582417584,71.26373626373626
2015-11-19,127,186,510,823,15.43134872417983,22.600243013365734,61.96840826245443
2015-11-20,59,122,512,693,8.513708513708513,17.604617604617605,73.88167388167388
2015-11-21,46,54,275,375,12.266666666666666,14.399999999999999,73.33333333333333
